name	url
Количественный состав участников ГИА-9 УР в 2013г. в разрезе форм проведения ГИА-9	http://ege.ciur.ru/dokuments/New Folder/1gia9.xlsx
Количественный состав участников ГИА-9 УР в 2013г. в новой форме	http://ege.ciur.ru/dokuments/New Folder/2gia9.xlsx
Результаты участников ГИА-9 УР в 2013г. с распределением по муниципальным образованиям	http://ege.ciur.ru/dokuments/New Folder/3gia9.xlsx
Итоговые средние баллы участников ГИА-9 УР в 2013г. с распределением по муниципальным образованиям	http://ege.ciur.ru/dokuments/New Folder/4gia9.xlsx
Присутствие общественных наблюдателей в ППЭ во время проведения ГИА-9 УР в 2013г.	http://ege.ciur.ru/dokuments/New Folder/5gia9.xlsx
Количество апелляций по результатам ГИА-9 в УР в2013г.	http://ege.ciur.ru/dokuments/New Folder/6gia9.xlsx
Сводные данные по апелляциям по ГИА-9 в УР в 2013г.	http://ege.ciur.ru/dokuments/New Folder/7gia9.xlsx
Количество участников ЕГЭ УР в 2012 г.	http://ege.ciur.ru/dokuments/New Folder/1.xls
Количество участников ЕГЭ УР в 2012 г. в разбивке по категориям	http://ege.ciur.ru/dokuments/New Folder/2.xls
Количество участников ЕГЭ по районам УР, получивших 100 баллов по ЕГЭ в 2012 г.	http://ege.ciur.ru/dokuments/New Folder/3.xls
Результаты участников ЕГЭ УР на всех этапах в 2012 г.	http://ege.ciur.ru/dokuments/New Folder/4.xlsx
Результаты участников ЕГЭ УР в разрезе общеобразовательных предметов в 2012 г.	http://ege.ciur.ru/dokuments/New Folder/5.xls
Результаты выпускников общеобразовательных учреждений ЕГЭ на всех этапах по районам УР в 2012г.	http://ege.ciur.ru/dokuments/New Folder/raion.xlsx
Рассмотрение апелляций результатов ЕГЭ УР в разрезе общеобразовательных предметов в 2012г.	http://ege.ciur.ru/dokuments/New Folder/6.xls
Динамика количества участников ЕГЭ УР в 2011, 2012 г.	http://ege.ciur.ru/dokuments/New Folder/7.xls
Динамика среднего тестового балла ЕГЭ УР по предметам в 2011, 2012 г.	http://ege.ciur.ru/dokuments/New Folder/8.xls
Динамика участия в ЕГЭ УР по нескольким предметам в 2011, 2012 г.	http://ege.ciur.ru/dokuments/New Folder/9.xls
Динамика поступивших и удовлетворенных апелляций ЕГЭ УР в 2011, 2012 г.	http://ege.ciur.ru/dokuments/New Folder/10.xls
